Database;batteries;;;;;;
;;;;;;;
Activity;battery cell, NMC-622;;;;;;
location;GLO;;;;;;
production amount;1;;;;;;
reference product;battery cell;;;;;;
type;;;;;;;
unit;kilogram;;;;;;
worksheet name;Sheet1;;;;;;
Exchanges;;;;;;;
market for acetone, liquid;0.0144;ecoinvent;RoW;;kilogram;technosphere;acetone, liquid
market group for electricity, medium voltage;0.0020;ecoinvent;GLO;;kilowatt hour;technosphere;electricity, medium voltage
market for chemical factory, organics;4.00E-10;ecoinvent;GLO;;unit;technosphere;chemical factory, organics
market for residue from shredder fraction from manual dismantling;-0.0539;ecoinvent;RoW;;kilogram;technosphere;residue from shredder fraction from manual dismantling
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Activity;battery cell, PLIB;;;;;;
location;GLO;;;;;;
production amount;1;;;;;;
reference product;battery cell, PLIB;;;;;;
type;;;;;;;
unit;kilogram;;;;;;
worksheet name;Sheet1;;;;;;
Exchanges;;;;;;;
name;amount;database;location;categories;unit;type;reference product
battery cell, PLIB;1;batteries;GLO;;kilogram;production;battery cell, PLIB
market for aluminium collector foil, for Li-ion battery;0.0495;ecoinvent;GLO;;kilogram;technosphere;aluminium collector foil, for Li-ion battery
market for aluminium, wrought alloy;0.026;ecoinvent;GLO;;kilogram;technosphere;aluminium, wrought alloy
market for anode, graphite, for Li-ion battery;0.1779;ecoinvent;CN;;kilogram;technosphere;anode, graphite, for Li-ion battery
market for battery separator;0.0156;ecoinvent;GLO;;kilogram;technosphere;battery separator
market for cathode, LFP, for Li-ion battery;0.3676;ecoinvent;CN;;kilogram;technosphere;cathode, LFP, for Li-ion battery
market for chemical factory, organics;4.00E-10;ecoinvent;GLO;;unit;technosphere;chemical factory, organics
market for copper collector foil, for Li-ion battery;0.1099;ecoinvent;GLO;;kilogram;technosphere;copper collector foil, for Li-ion battery
market for copper, anode;0.0292;ecoinvent;GLO;;kilogram;technosphere;copper, anode
market for electrolyte, for Li-ion battery;0.2215;ecoinvent;GLO;;kilogram;technosphere;electrolyte, for Li-ion battery
market for extrusion, plastic film;0.0042;ecoinvent;GLO;;kilogram;technosphere;extrusion, plastic film
market for heat, district or industrial, natural gas;8.0772;ecoinvent;RoW;;megajoule;technosphere;heat, district or industrial, natural gas
market for polyethylene terephthalate, granulate, amorphous;0.0031;ecoinvent;GLO;;kilogram;technosphere;polyethylene terephthalate, granulate, amorphous
market for polypropylene, granulate;0.0011;ecoinvent;GLO;;kilogram;technosphere;polypropylene, granulate
market for sheet rolling, aluminium;0.026;ecoinvent;GLO;;kilogram;technosphere;sheet rolling, aluminium
market for sheet rolling, copper;0.0292;ecoinvent;GLO;;kilogram;technosphere;sheet rolling, copper
market group for electricity, medium voltage;0.766739467;ecoinvent;CN;;kilowatt hour;technosphere;electricity, medium voltage
